radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm1_ref_n,center_lat,center_lon
GSM,620,2,57,28035,-1,-0.3378,5.5355,1000,9,1,1686036946,1734072238,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,14554,-1,-0.3011,5.5709,5663,8,1,1686028081,1755575393,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,57,14002,-1,-0.346,5.5373,4112,10,1,1686036946,1734677642,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,57,14062,-1,-0.3377,5.5354,1000,13,1,1686036946,1734763733,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,14478,-1,-0.2982,5.5594,1993,5,1,1686038159,1734677618,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,34478,-1,-0.3,5.5573,1000,3,1,1686038159,1729491832,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,24478,-1,-0.3067,5.5557,2299,6,1,1686038159,1734677618,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,16441,-1,-0.3029,5.5562,1073,4,1,1686038159,1734677618,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,37,12958,-1,-0.3837,5.5548,5410,4,1,1687251357,1759725018,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,57,24555,-1,-0.3432,5.5387,3738,14,1,1687339095,1734763733,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,57,14555,-1,-0.3402,5.5374,2892,16,1,1687339095,1734763733,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,87,12604,-1,-0.3627,5.551,13161,5,1,1687339095,1761113019,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,24220,-1,-0.3376,5.5353,1000,10,1,1687342084,1734763735,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,57,24002,-1,-0.3479,5.5375,3901,8,1,1687340251,1734072238,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
